Subject,manipulation,Manipulation,Stimulation,Session,VisualF,Response,StartTime
S9,UR,Attended Visual Field,Sham,Post_1,Right,0.7169811320754716,306.8137582396222
S10,UL,Ignored Visual Field,Sham,Post_1,Right,0.8135593220338984,273.58047811016974
S10,UL,Attended Visual Field,Sham,Post_1,Left,0.8679245283018868,324.2188715000002
S11,UR,Ignored Visual Field,Sham,Post_1,Left,0.8909090909090909,307.0946583199955
S11,UR,Attended Visual Field,Sham,Post_1,Right,0.8301886792452831,275.3240570132028
S12,Bi,Control,Sham,Post_1,Right,0.5573770491803278,282.8491075687706
S12,Bi,Control,Sham,Post_1,Left,0.78,306.67691715791824
S13,UL,Ignored Visual Field,Sham,Post_1,Right,0.717391304347826,288.5729636847682
S13,UL,Attended Visual Field,Sham,Post_1,Left,0.5769230769230769,288.8404395672864
S14,Bi,Control,Sham,Post_1,Left,0.6346153846153846,286.823862851923
S14,Bi,Control,Sham,Post_1,Right,0.7592592592592593,310.818938090741
S15,UL,Attended Visual Field,Sham,Post_1,Left,0.7454545454545455,305.58524483999406
S15,UL,Ignored Visual Field,Sham,Post_1,Right,0.75,291.0426931183288
S16,UL,Ignored Visual Field,Sham,Post_1,Right,0.8275862068965517,307.36759623793074
S16,UL,Attended Visual Field,Sham,Post_1,Left,0.8867924528301887,279.90048104528273
S17,UR,Attended Visual Field,Sham,Post_1,Right,0.7777777777777778,292.4510559500141
S17,UR,Ignored Visual Field,Sham,Post_1,Left,0.9347826086956522,284.7707086130572
S18,Bi,Control,Sham,Post_1,Left,0.5357142857142857,281.4997304177544
S18,Bi,Control,Sham,Post_1,Right,0.5849056603773585,320.8249771338624
S19,UL,Ignored Visual Field,Sham,Post_1,Right,0.7346938775510204,311.1907911734983
S19,UL,Attended Visual Field,Sham,Post_1,Left,0.8596491228070176,281.3477550912587
S20,UL,Ignored Visual Field,Sham,Post_1,Right,0.7272727272727273,316.57985803410304
S20,UL,Attended Visual Field,Sham,Post_1,Left,0.631578947368421,282.5188174315957
S21,Bi,Control,Sham,Post_1,Right,0.6071428571428571,284.71751894464927
S21,Bi,Control,Sham,Post_1,Left,0.5666666666666667,311.28361703000604
S22,Bi,Control,Sham,Post_1,Left,0.7741935483870968,298.0502362450765
S22,Bi,Control,Sham,Post_1,Right,0.7407407407407407,301.09457647954804
S23,Bi,Control,Sham,Post_1,Right,0.6944444444444444,273.6595229165784
S23,Bi,Control,Sham,Post_1,Left,0.7230769230769231,323.86959189221335
S24,Bi,Control,Sham,Post_1,Right,0.5952380952380952,265.8394076428572
S24,Bi,Control,Sham,Post_1,Left,0.5208333333333334,275.05664999791674
S25,UR,Attended Visual Field,Sham,Post_1,Right,0.7758620689655172,303.41664587758135
S25,UR,Ignored Visual Field,Sham,Post_1,Left,0.6545454545454545,293.7926408672679
S26,UR,Ignored Visual Field,Sham,Post_1,Left,0.9183673469387755,322.7131782775541
S26,UR,Attended Visual Field,Sham,Post_1,Right,0.6428571428571429,266.6171052214312
S27,UR,Ignored Visual Field,Sham,Post_1,Left,0.8653846153846154,284.84022435962555
S27,UR,Attended Visual Field,Sham,Post_1,Right,0.7678571428571429,294.8792710446505
S28,UL,Ignored Visual Field,Sham,Post_1,Right,0.7192982456140351,278.00817939999314
S28,UL,Attended Visual Field,Sham,Post_1,Left,0.8163265306122449,306.5360742489711
S29,UL,Ignored Visual Field,Sham,Post_1,Right,0.6792452830188679,292.7640916641514
S29,UL,Attended Visual Field,Sham,Post_1,Left,0.7241379310344828,301.0565562413799
S30,UR,Attended Visual Field,Sham,Post_1,Right,0.8367346938775511,288.18228632857137
S30,UR,Ignored Visual Field,Sham,Post_1,Left,0.851063829787234,292.93786278723223
S31,Bi,Control,Sham,Post_1,Left,0.8166666666666667,285.0278559466921
S31,Bi,Control,Sham,Post_1,Right,0.8928571428571429,311.4541851464538
S32,UL,Attended Visual Field,Sham,Post_1,Left,0.625,315.7732399171876
S32,UL,Ignored Visual Field,Sham,Post_1,Right,0.7254901960784313,281.40161616470596
S33,Bi,Control,Sham,Post_1,Left,0.7833333333333333,285.8087236516694
S33,Bi,Control,Sham,Post_1,Right,0.6170212765957447,305.5672055808539
S34,UL,Attended Visual Field,Sham,Post_1,Left,0.8727272727272727,280.5910646672784
S34,UL,Ignored Visual Field,Sham,Post_1,Right,0.7111111111111111,303.69324852889406
S35,Bi,Control,Sham,Post_1,Left,0.5573770491803278,305.1469345737934
S35,Bi,Control,Sham,Post_1,Right,0.5818181818181818,285.8720613018398
S36,UR,Ignored Visual Field,Sham,Post_1,Left,0.8928571428571429,254.70414348932016
S36,UR,Attended Visual Field,Sham,Post_1,Right,0.6,338.51306531004957
S37,Bi,Control,Sham,Post_1,Left,0.6326530612244898,288.49481468775895
S37,Bi,Control,Sham,Post_1,Right,0.7,329.63724475800524
S38,UL,Attended Visual Field,Sham,Post_1,Left,0.75,292.3722342346082
S38,UL,Ignored Visual Field,Sham,Post_1,Right,0.8297872340425532,304.0302065787162
S39,Bi,Control,Sham,Post_1,Left,0.8064516129032258,282.81163146290737
S39,Bi,Control,Sham,Post_1,Right,0.6274509803921569,312.28803182549416
S1,Bi,Control,Sham,Post_2,Left,0.7924528301886793,314.4166304905798
S1,Bi,Control,Sham,Post_2,Right,0.5892857142857143,280.0223954696495
S2,UR,Attended Visual Field,Sham,Post_2,Right,0.7413793103448276,288.0404089930415
S2,UR,Ignored Visual Field,Sham,Post_2,Left,0.7450980392156863,306.4486469097513
S3,UR,Attended Visual Field,Sham,Post_2,Right,0.6923076923076923,274.72497725192557
S3,UR,Ignored Visual Field,Sham,Post_2,Left,0.8103448275862069,316.2363855068999
